event_var,beta,se,pval,ci_low,ci_high,beta_t,beta_t1,gamma0,gamma1,n_obs,r2_within
housing_inc,-0.03861786599138859,0.14142135623730953,0.784799753703137,-0.3158037242165153,0.23856799223373812,-0.019308932995694295,-0.019308932995694295,1.0,0.0,53,0.9999184710150564
housing_dec,-4.456509834019196,0.14142135623730953,0.0,-4.733695692244323,-4.17932397579407,-2.228254917009598,-2.228254917009598,1.0,0.0,53,0.9999184710150564
commercial_inc,5.870008307059242,0.14142135623730953,0.0,5.592822448834116,6.147194165284369,2.935004153529621,2.935004153529621,0.5,0.5,53,0.9999184710150564
transit_inc,-0.24878012932281038,0.14142135623730953,0.07855353453259362,-0.5259659875479371,0.028405728902316324,0.0,-0.24878012932281038,1.0,0.0,53,0.9999184710150564
transit_dec,1.636509851821686,0.14142135623730953,0.0,1.3593239935965593,1.9136957100468128,3.176908212421675,-1.540398360599989,1.0,0.0,53,0.9999184710150564
public_edu_medical_inc,0.0,0.14142135623730953,1.0,-0.2771858582251267,0.2771858582251267,0.0,0.0,1.0,0.0,53,0.9999184710150564
public_edu_medical_dec,0.0,0.14142135623730953,1.0,-0.2771858582251267,0.2771858582251267,0.0,0.0,1.0,0.0,53,0.9999184710150564
employment_inc,-2.228254917009598,0.14142135623730953,0.0,-2.505440775234725,-1.9510690587844715,0.0,-2.228254917009598,1.0,0.0,53,0.9999184710150564
disaster_inc,-2.095674615069221,0.14142135623730953,0.0,-2.372860473294348,-1.8184887568440944,-2.095674615069221,0.0,1.0,0.0,53,0.9999184710150564
disaster_dec,1.9365052062118129,0.14142135623730953,0.0,1.6593193479866861,2.2136910644369396,1.9365052062118129,0.0,1.0,0.0,53,0.9999184710150564
